tweet,mentioned,hashtags,clean_tweet,Tweet length
"@ICMRDELHI is planning to study whether the #COVID2019 strain in India has undergone mutation while spreading within the country over tha last 2 months. 
#IndiaFightsCorona
@DoC_GoI @MoHFW_INDIA @Pharmadept @GISAID @icmr_niv @WHO @Pharmexcil @NCDCgov
Read: https://t.co/2b4atpmJZU","['@ICMRDELHI', '@DoC_GoI', '@MoHFW_INDIA', '@Pharmadept', '@GISAID', '@icmr_niv', '@WHO', '@Pharmexcil', '@NCDCgov']","['#COVID2019', '#IndiaFightsCorona']",planning study whether strain india undergone mutation spreading within country tha last months read,100
"#lockdown
It is really sad to know that medical sample transportation is not open while liquor shops will get open in the third phase.
@Thyrocare",['@Thyrocare'],['#lockdown'],really sad know medical sample transportation open liquor shops get open third phase,84
"If the male #police can't touch the female so why a female #police officer have a right to touch the male. This is a breach of male rights. Female police also don't have a right to touch the male
#lockdownindia #StaySafe #StayHome #COVID__19 #COVID #COVID2019 #CoronaUpdatesInIndi",[],"['#police', '#police', '#lockdownindia', '#StaySafe', '#StayHome', '#COVID__19', '#COVID', '#COVID2019', '#CoronaUpdatesInIndi']",male touch female female officer right touch male breach male rights female police also right touch male,104
"Aloochap With Chatni 🤤🤤
.
Mouth watering or not ?
.
Eat , Eat &amp; Repeat 😋
.
Follow @InCafetime
.
.
#SaturdayKitchen #Food #StayHome https://t.co/BUsWau7ocn",['@InCafetime'],"['#SaturdayKitchen', '#Food', '#StayHome']",aloochap chatni mouth watering eat eat repeat follow,52
"By the time this #lockdown ends, I'll either become completely insane or a monk",[],['#lockdown'],time ends either become completely insane mo,44
Update: We are now feeding and pampering a total of 58 dogs and cats in #Delhi. We started with 10-12 strays when the #lockdown started but now we are trying to cover as many locations as possible. If you wish to sponsor a meal or contribute then ping me here. #SaveTheStrays https://t.co/MmNwNnxkve https://t.co/oaHIDCPJXN,[],"['#Delhi', '#lockdown', '#SaveTheStrays']",update feeding pampering total dogs cats started strays started trying cover many locations possible wish sponsor meal contribute ping,134
"Appreciate to those who are staying indoors and being a real hero to prevent the virus...
And one advice to those who are outside gonna help to increase the Corona infected people to plzz stay at home .
#StayHome 
#humandarcoronabahar 
#StayHomeSavesLives",[],"['#StayHome', '#humandarcoronabahar', '#StayHomeSavesLives']",appreciate staying indoors real hero prevent virus one advice outside gonna help increase corona infected people plzz stay home,127
"#UNITEDSIKHS #Delhi continues to provide meals to the Doctors.
When the kitchen of the hospital was closed as the Dietician was #COVID19 positive, UNITED SIKHS immediately took up this sewa of providing meals to the Doctors and Medical staff.
#StayHome #IndiaLockdown https://t.co/4vdg6IvCIc",[],"['#UNITEDSIKHS', '#Delhi', '#COVID19', '#StayHome', '#IndiaLockdown']",continues provide meals doctors kitchen hospital closed dietician positive united sikhs immediately took sewa providing meals doctors medical staff,147
"Spicy fried potatoes ❤️🔥.
A dish which will never allow me to be an diet😍😂 ... Still I love it 😘😋. .
Double tap if you like it ❤️❤️. .

What's your favourite dish guys ? Comment below.😊 #streetfoodiedelhi #artiminki  #spicy  #lockdown #homemade #safety #foodie #SAFe https://t.co/hoeuLu1Rna",[],"['#streetfoodiedelhi', '#artiminki', '#spicy', '#lockdown', '#homemade', '#safety', '#foodie', '#SAFe']",spicy fried potatoes dish never allow diet still love double tap like favourite dish guys comment,97
@AkashvaniAIR jingle encouraging listeners not to leave home and go out.. Remain #HealthyAtHome in #lockdownindia this season #CoronavirusOutbreak  #pandemic https://t.co/6ZDobIJTZM,['@AkashvaniAIR'],"['#HealthyAtHome', '#lockdownindia', '#CoronavirusOutbreak', '#pandemic']",jingle encouraging listeners leave home go remain season,56
"Matter of priority. While people are dying due to lack of medical facilities someone wants a new palace ready 
#coronavirusinindia https://t.co/Fp5LXm6m9r",[],['#coronavirusinindia'],matter priority people dying due lack medical facilities someone wants new palace ready,87
"SATHI AN ALL INDIA ORGANIZATION
DAY NO.38
DATE.02.05.2020
#HELPINGNEEDY
#FEEDINGNEEDY
#INDIAFIGHTSCORONA https://t.co/NDVLcssDzC",[],"['#HELPINGNEEDY', '#FEEDINGNEEDY', '#INDIAFIGHTSCORONA']",sathi india organization day date,33
"@TheDogMother_ 
#EachOneReachOne during #lockdown to #feed a #stray everyday ❤
#DilSeThankYou for feeding the #voiceless ❣
Would you all please share, tag, save 🙏
Help compassionate souls feed more hungry souls 🧡🧡
https://t.co/GHsQBHUExm
#KINDNESSINCRISIS
@JohnAbrahamCLUB https://t.co/mz7QBBzZql","['@TheDogMother_', '@JohnAbrahamCLUB']","['#EachOneReachOne', '#lockdown', '#feed', '#stray', '#DilSeThankYou', '#voiceless', '#KINDNESSINCRISIS']",everyday feeding would please share tag save help compassionate souls feed hungry souls,87
"Sanitation done at Mansa Ram Park near shiv mandir and JJ colony. 

Special thanks to @GulabMatiala and @RaghuvinderAAP 

#StayHome #stayfit #IndiaFightsCoronavirus https://t.co/llmt7mIsQw","['@GulabMatiala', '@RaghuvinderAAP']","['#StayHome', '#stayfit', '#IndiaFightsCoronavirus']",sanitation done mansa ram park near shiv mandir jj colony special thanks,72
"India's Biggest 1-Day Jump in Coronavirus Cases, Count Crosses 37,000.
-
Read the Press Release on extension of lockdown dt 1-5-20: https://t.co/uzzi5kroiP
.
.
.
.
.
.
.
.
#covid19 #coronavirus #economics #startups #lockdown #quarantine #Lawyer2Ca #lockdownindia #Lockdown3 https://t.co/iHrWBH4CKG",[],"['#covid19', '#coronavirus', '#economics', '#startups', '#lockdown', '#quarantine', '#Lawyer2Ca', '#lockdownindia', '#Lockdown3']",india biggest day jump coronavirus cases count crosses read press release extension lockdown dt,95
"Day 40: Together we are and Together we will defeat this #COVID19. 

Now We have Family of more than 500 people &amp; counting

#FeedTheNeedy
#lockdownindia
#Covid_19
#StayHome
#Covid_19
#COVID2019

@PMOIndia
@narendramodi
@TajinderBagga
@MLekhiOffice
@M_Lekhi
@BJP4Delhi
@BJP4India https://t.co/bmMBN6gIAs","['@PMOIndia', '@narendramodi', '@TajinderBagga', '@MLekhiOffice', '@M_Lekhi', '@BJP4Delhi', '@BJP4India']","['#COVID19', '#FeedTheNeedy', '#lockdownindia', '#Covid_19', '#StayHome', '#Covid_19', '#COVID2019']",day together together defeat family people counting,51
"At present Face become the most important word:

#facemask on your face
#facebook for passing your time
#facedown stay at home

If you have any other face in your mind, please mention here..

#lockdownindia #lockdown #Covid_19 #coronavirus @aajtak @ZeeNews @abpnewshindi @FT","['@aajtak', '@ZeeNews', '@abpnewshindi', '@FT']","['#facemask', '#facebook', '#facedown', '#lockdownindia', '#lockdown', '#Covid_19', '#coronavirus']",present face become important word face passing time stay home face mind please mention,87
"This is the #Horlicks gooey chocolate brownie recipe shared by @FallenzAngel...was in a bit of a hurry to cut them...so the edges are not very neat! 
🍫🍫🍫
https://t.co/eX9pv3Wf7o 

@thebakingnanna1 @Rob_C_Allen #twitterbakealong #StayHome https://t.co/nN86s0TQeI","['@FallenzAngel', '@thebakingnanna1', '@Rob_C_Allen']","['#Horlicks', '#twitterbakealong', '#StayHome']",gooey chocolate brownie recipe shared bit hurry cut edges neat,62
"Kenya looks up to India's lockdown to explain to people in the country, ""if India with 1.3 Bn pple can go for #lockdown, why can't we have partial curfew"". @WIONews speaks to India's envoy to Kenya @IndiainKenya Rahul Chhabra on #Covid &amp; much more. https://t.co/a4aju6QAs1 https://t.co/pSh0ZZ0Th9 https://t.co/qOT6X5KicL","['@WIONews', '@IndiainKenya']","['#lockdown', '#Covid']",kenya looks india lockdown explain people country india bn pple go partial curfew speaks india envoy kenya rahul chhabra much,125
"Look forward to listen Ms Dixita Mehta, Co-founder, My Zindagi Foundation and CEO Psychologist and Head Counsellor, on ""Refresh &amp; Restart: How Lockdown has given Youth An Opportunity to Look Within"" with @YAAC2020 

#IndiaFightsCorona #YAAC @Himanshuchhauch @rishidesire2002 https://t.co/II4niNgsiC","['@YAAC2020', '@Himanshuchhauch', '@rishidesire2002']","['#IndiaFightsCorona', '#YAAC']",look forward listen ms dixita mehta co founder zindagi foundation ceo psychologist head counsellor refresh restart lockdown given youth opportunity look within,159
"The Food Corporation of India is ensuring food for all for every Indian across the nation.

71.26 lakh tonnes of food grains have been transported to various corners of the country via trains, trucks and ships.

#IndiaFightsCorona https://t.co/g8GIfsZu9k",[],['#IndiaFightsCorona'],food corporation india ensuring food every indian across nation lakh tonnes food grains transported various corners country via trains trucks ships,147
Old but favourite 😍💪🏻 #tb #body #flex #fitness #biceps #model #hazzelchoudhry #homeworkout #EatRightIndia #StayHomeSaveLives https://t.co/BoY1sGnbIi,[],"['#tb', '#body', '#flex', '#fitness', '#biceps', '#model', '#hazzelchoudhry', '#homeworkout', '#EatRightIndia', '#StayHomeSaveLives']",old favourite,13
Home studio. Watch me today on @CNNnews18 &amp; @CNBCTV18News at 5:30 pm &amp; 6:30 pm today #WorkFromHome #Lockdown3 #COVID__19 https://t.co/Vf9MgtX6gr,"['@CNNnews18', '@CNBCTV18News']","['#WorkFromHome', '#Lockdown3', '#COVID__19']",home studio watch today pm pm today,35
Who all are satisfied with lockdown 3.0 #Lockdown3 #GoCoronaGo #StayHome @narendramodi @MyYogiSingh,"['@narendramodi', '@MyYogiSingh']","['#Lockdown3', '#GoCoronaGo', '#StayHome']",satisfied lockdown,18
"Keeping fit during these #lockdown times is all the more essential to have a good control over Type1 Diabetes. ⠀
⠀
Join in for a #InstagramLiveSession on fitness. 30 mins core session on fitness forms. We have… https://t.co/zuGrQcAbKy",[],"['#lockdown', '#InstagramLiveSession']",keeping fit times essential good control type diabetes join fitness mins core session fitness forms,99
Its getting closer 😭 .. #Covid19 #Lockdown https://t.co/TeCGgBHbHZ,[],"['#Covid19', '#Lockdown']",getting closer,14
